image_id,file_name,split,class_label,x1,y1,x2,y2,area,iscrowd
360449,000000360449.jpg,train,car,138.45,360.99,212.43,419.67,3314.026650000001,0
360449,000000360449.jpg,train,car,42.74,346.95,131.54,428.55,5569.6686500000005,0
360449,000000360449.jpg,train,car,355.3,341.25,380.78,357.63,334.4977999999998,0
360449,000000360449.jpg,train,car,394.16,319.41,459.58,372.9,2905.9138499999985,0
360449,000000360449.jpg,train,car,2.13,367.26,63.12,443.11,3232.1241499999996,0
360449,000000360449.jpg,train,car,471.32,360.78,546.69,420.69,3815.2669500000006,0
360449,000000360449.jpg,train,car,216.31,335.81,247.01,371.69,965.7296499999991,0
360449,000000360449.jpg,train,car,320.17,383.15,383.93,446.19,3436.502750000001,0
360449,000000360449.jpg,train,car,384.55,358.64,423.55,396.5,1262.1749,0
360449,000000360449.jpg,train,car,333.95,350.79,376.83,371.89,678.2275499999995,0
360449,000000360449.jpg,train,car,216.23,372.78,247.46,410.47,925.3968000000007,0
344067,000000344067.jpg,train,car,518.62,35.59,558.77,86.07,1694.200699999999,0
344067,000000344067.jpg,train,car,532.08,138.99,558.64,200.5,1249.728299999999,0
344067,000000344067.jpg,train,person,200.7,319.0,226.54,405.88,1283.8261999999995,0
344067,000000344067.jpg,train,person,281.0,187.04,300.07,205.68,157.20789999999997,0
344067,000000344067.jpg,train,person,395.3,141.45,421.71,187.83,461.4826000000005,0
344067,000000344067.jpg,train,person,480.32,141.13,502.65,194.77,573.0524499999998,0
344067,000000344067.jpg,train,person,502.21,135.93,519.51,191.94,664.3261999999994,0
344067,000000344067.jpg,train,person,388.64,0.4,406.4,39.1,374.52555000000046,0
344067,000000344067.jpg,train,person,277.19,172.13,303.47,198.58,306.38010000000014,0
344067,000000344067.jpg,train,truck,286.38,54.04,314.9,102.62,977.6040500000001,0
344067,000000344067.jpg,train,person,132.03,217.32,152.78,248.51,345.9521000000004,0
491526,000000491526.jpg,train,car,122.08,265.23,143.05,278.73,227.00799999999953,0
491526,000000491526.jpg,train,car,64.56,266.55,90.89,283.59,327.82050000000004,0
491526,000000491526.jpg,train,car,47.03,266.94,59.81,276.74,91.96229999999993,0
491526,000000491526.jpg,train,person,314.98,234.75,338.35,260.57,323.95249999999993,0
491526,000000491526.jpg,train,person,20.76,261.25,32.35,284.83,117.56284999999997,0
491526,000000491526.jpg,train,person,188.51,261.03,194.0,276.62,53.36144999999986,0
491526,000000491526.jpg,train,person,177.89,260.79,183.35,275.65,45.77574999999979,0
491526,000000491526.jpg,train,person,13.01,263.39,18.32,288.14,74.44640000000007,0
491526,000000491526.jpg,train,car,95.94,265.26,104.13,274.2,60.873799999999925,0
491526,000000491526.jpg,train,person,163.78,263.1,169.03,274.83,31.815500000000068,0
491526,000000491526.jpg,train,person,168.94,259.69,174.25,273.81,49.757400000000054,0
491526,000000491526.jpg,train,person,363.2,164.69,381.65,181.84,150.25229999999982,0
491526,000000491526.jpg,train,person,185.17,263.23,189.45,275.51,25.30224999999992,0
278535,000000278535.jpg,train,truck,140.78,320.78,334.82,405.68,8153.211050000002,0
278535,000000278535.jpg,train,car,0.0,350.93,41.36,380.27,788.7534499999994,0
278535,000000278535.jpg,train,car,24.93,361.79,57.84,381.04,219.78255000000044,0
278535,000000278535.jpg,train,car,41.07,360.04,98.15,384.19,953.6530000000001,0
278535,000000278535.jpg,train,car,524.37,249.3,611.79,350.91,5205.687049999998,0
393226,000000393226.jpg,val,car,0.0,209.26,38.83,252.4,1367.36355,0
393226,000000393226.jpg,val,car,38.49,207.39,104.3,247.13,2123.89465,0
393226,000000393226.jpg,val,car,454.05,207.48,503.93,225.01,714.0724500000001,0
393226,000000393226.jpg,val,truck,131.6,118.65,418.52,311.73,43548.610599999985,0
393226,000000393226.jpg,val,truck,507.93,190.32,636.25,279.33,8636.54365,0
393226,000000393226.jpg,val,person,94.3,193.67,154.04,337.42,4010.804449999997,0
393226,000000393226.jpg,val,car,405.7,209.14,429.91,222.69,161.68914999999987,0
393226,000000393226.jpg,val,car,481.08,206.49,535.61,225.17,408.9009,0
393226,000000393226.jpg,val,car,429.28,202.61,480.64,224.7,600.0406000000005,0
229388,000000229388.jpg,train,person,57.53,131.88,477.48,630.93,132628.73835000006,0
229388,000000229388.jpg,train,person,0.0,495.35,65.15,640.0,7432.475399999998,0
262161,000000262161.jpg,train,car,132.99,21.03,448.58,131.43,15019.191850000001,0
262161,000000262161.jpg,train,person,505.91,9.62,528.99,43.28,382.43160000000006,0
262161,000000262161.jpg,train,person,483.26,13.8,495.15,36.95,151.65254999999985,0
262161,000000262161.jpg,train,person,30.84,14.22,46.52,48.29,374.60995,0
262161,000000262161.jpg,train,person,59.28,12.0,72.01,32.27,148.9175999999999,0
262161,000000262161.jpg,train,car,343.4,32.21,475.9,74.23,2562.1196000000004,0
262161,000000262161.jpg,train,car,4.76,26.7,78.82,55.22,364.3657000000001,0
262161,000000262161.jpg,train,car,100.58,21.0,198.37,49.47,776.3630000000003,0
262161,000000262161.jpg,train,person,0.0,79.83,37.51,147.16,1369.7379499999997,0
262161,000000262161.jpg,train,person,590.04,4.37,606.27,50.56,514.3317999999995,0
262161,000000262161.jpg,train,person,0.0,14.37,14.68,52.11,278.77805,0
262161,000000262161.jpg,train,person,49.04,13.61,61.03,37.79,206.31620000000004,0
262161,000000262161.jpg,train,person,385.5,13.14,399.49,34.12,144.29254999999998,0
262161,000000262161.jpg,train,person,8.69,14.39,28.9,51.7,502.07500000000005,0
262161,000000262161.jpg,train,car,0.0,23.69,184.76,93.95,7416.3473,0
262161,000000262161.jpg,train,car,99.45,15.89,192.37,37.59,393.50300000000004,0
262161,000000262161.jpg,train,car,304.64,15.29,347.8,40.22,525.1311999999999,0
262161,000000262161.jpg,train,car,574.8,12.8,597.32,29.75,252.58210000000045,0
262161,000000262161.jpg,train,car,477.63,19.86,487.98,28.54,77.07910000000017,0
262161,000000262161.jpg,train,car,384.04,23.38,415.15,35.22,208.23380000000003,0
262161,000000262161.jpg,train,person,494.3,13.12,500.96,35.68,99.83059999999969,0
262161,000000262161.jpg,train,person,565.34,16.96,572.69,36.23,90.44430000000061,0
262161,000000262161.jpg,train,person,338.8,7.05,373.59,43.84,541.4395999999997,0
278548,000000278548.jpg,train,car,184.78,360.64,215.7,384.27,568.0449999999998,0
