image_id,file_name,split,n_person,n_car,n_truck,has_person,has_car,has_truck,sampled_for
360449,000000360449.jpg,train,0,11,0,0,1,0,car
344067,000000344067.jpg,train,8,2,1,1,1,1,truck
491526,000000491526.jpg,train,9,4,0,1,1,0,car
278535,000000278535.jpg,train,0,4,1,0,1,1,car
393226,000000393226.jpg,val,1,6,2,1,1,1,truck
229388,000000229388.jpg,train,2,0,0,1,0,0,person
262161,000000262161.jpg,train,14,11,0,1,1,0,car
278548,000000278548.jpg,train,8,7,1,1,1,1,truck
458772,000000458772.jpg,train,7,7,1,1,1,1,truck
393241,000000393241.jpg,train,13,4,0,1,1,0,car
557081,000000557081.jpg,train,2,0,0,1,0,0,person
360480,000000360480.jpg,train,5,2,0,1,1,0,person
16418,000000016418.jpg,train,2,0,2,1,0,1,truck
229415,000000229415.jpg,train,1,0,1,1,0,1,truck
131118,000000131118.jpg,train,0,0,2,0,0,1,truck
426031,000000426031.jpg,train,1,5,0,1,1,0,car
147505,000000147505.jpg,train,3,3,1,1,1,1,car+truck
524338,000000524338.jpg,train,3,1,1,1,1,1,car
360500,000000360500.jpg,train,1,1,0,1,1,0,car
262197,000000262197.jpg,train,7,2,1,1,1,1,car+truck
294974,000000294974.jpg,train,1,0,1,1,0,1,truck
262207,000000262207.jpg,train,2,1,0,1,1,0,car
294977,000000294977.jpg,train,1,0,0,1,0,0,person
507969,000000507969.jpg,train,1,0,1,1,0,1,truck
196675,000000196675.jpg,train,10,1,2,1,1,1,car
409668,000000409668.jpg,train,2,2,0,1,1,0,car
196686,000000196686.jpg,train,0,4,3,0,1,1,truck
393303,000000393303.jpg,train,0,4,1,0,1,1,truck
114776,000000114776.jpg,train,0,1,0,0,1,0,car
442456,000000442456.jpg,val,2,4,1,1,1,1,truck
295007,000000295007.jpg,train,4,0,0,1,0,0,person
426083,000000426083.jpg,train,4,0,0,1,0,0,person
131172,000000131172.jpg,train,14,1,0,1,1,0,car
393317,000000393317.jpg,train,2,14,0,1,1,0,car
376934,000000376934.jpg,train,12,1,0,1,1,0,person
540774,000000540774.jpg,train,1,0,1,1,0,1,truck
180329,000000180329.jpg,train,7,2,1,1,1,1,truck
